Group,ID,task,profile,selected,tax,emperor,immigrants,childcare,party,age_candidate,gender_candidate,status,temp_Abe
T3_Left,R_02HleQklR22t8Dn,1,1,1,disagree,deny,refuse,not improve,LDP,30,male,incumbent,47
T3_Left,R_02HleQklR22t8Dn,1,2,0,disagree,approve,refuse,not improve,Komeito,30,male,incumbent,47
T3_Left,R_02HleQklR22t8Dn,2,1,1,agree,deny,accept,improve,Komeito,70,male,challenger,47
T3_Left,R_02HleQklR22t8Dn,2,2,0,agree,approve,accept,not improve,Komeito,70,male,challenger,47
T3_Left,R_02HleQklR22t8Dn,3,1,0,agree,approve,refuse,improve,JCP,70,female,challenger,47
T3_Left,R_02HleQklR22t8Dn,3,2,1,agree,deny,accept,improve,CDP,70,female,challenger,47
T3_Left,R_02HleQklR22t8Dn,4,1,1,disagree,deny,accept,not improve,CDP,30,female,incumbent,47
T3_Left,R_02HleQklR22t8Dn,4,2,0,disagree,deny,refuse,not improve,Komeito,30,female,incumbent,47
T3_Left,R_02HleQklR22t8Dn,5,1,0,disagree,approve,refuse,improve,Komeito,70,female,incumbent,47
T3_Left,R_02HleQklR22t8Dn,5,2,1,disagree,approve,refuse,improve,JCP,70,female,incumbent,47
T3_Right,R_035MDp9ayk40Git,1,1,1,disagree,deny,accept,improve,LDP,30,male,incumbent,20
T3_Right,R_035MDp9ayk40Git,1,2,0,disagree,approve,accept,improve,Komeito,30,male,incumbent,20
T3_Right,R_035MDp9ayk40Git,2,1,1,agree,deny,refuse,improve,LDP,40,male,incumbent,20
T3_Right,R_035MDp9ayk40Git,2,2,0,agree,approve,accept,not improve,LDP,40,male,incumbent,20
T3_Right,R_035MDp9ayk40Git,3,1,1,disagree,approve,accept,improve,Komeito,40,female,incumbent,20
T3_Right,R_035MDp9ayk40Git,3,2,0,disagree,deny,accept,not improve,Komeito,40,female,incumbent,20
T3_Right,R_035MDp9ayk40Git,4,1,0,disagree,deny,refuse,not improve,Komeito,60,female,incumbent,20
T3_Right,R_035MDp9ayk40Git,4,2,1,disagree,approve,accept,improve,JCP,60,female,incumbent,20
T3_Right,R_035MDp9ayk40Git,5,1,0,agree,approve,accept,improve,Komeito,40,female,incumbent,20
T3_Right,R_035MDp9ayk40Git,5,2,1,agree,approve,accept,improve,CDP,40,female,incumbent,20
T1_Right,R_03drCEOMuTxotgt,1,1,0,agree,deny,accept,not improve,JCP,60,male,challenger,46
T1_Right,R_03drCEOMuTxotgt,1,2,1,agree,deny,accept,not improve,CDP,60,male,challenger,46
T1_Right,R_03drCEOMuTxotgt,2,1,0,disagree,approve,refuse,improve,JCP,50,female,challenger,46
T1_Right,R_03drCEOMuTxotgt,2,2,1,agree,deny,refuse,not improve,LDP,50,female,challenger,46
